datetime,ask,bid
10.01.2021 00:46:18.681,14736.741000000002,14733.258999999998
10.01.2021 00:46:19.061,14736.743,14733.608999999999
10.01.2021 00:46:19.111,14737.061000000002,14733.569
10.01.2021 00:46:19.212,14736.611,14733.339
10.01.2021 00:46:21.598,14736.741000000002,14733.337
10.01.2021 00:46:21.648,14736.731000000002,14733.268999999998
10.01.2021 00:46:21.763,14736.723,14733.319
10.01.2021 00:46:21.813,14736.861,14733.348999999998
10.01.2021 00:46:22.854,14736.691,14733.337
10.01.2021 00:46:22.905,14736.701000000001,14733.268999999998
10.01.2021 00:46:23.551,14736.691,14733.216999999999
10.01.2021 00:46:23.601,14736.641000000001,14733.139
10.01.2021 00:46:24.963,14736.091,14732.618999999999
10.01.2021 00:46:25.014,14736.081,14732.678999999998
10.01.2021 00:46:25.515,14735.801000000001,14732.309
10.01.2021 00:46:25.566,14735.791000000001,14732.358999999999
10.01.2021 00:46:26.303,14735.893,14732.518999999998
10.01.2021 00:46:26.353,14736.071000000002,14732.618999999999
10.01.2021 00:46:27.488,14735.801000000001,14732.409
10.01.2021 00:46:27.538,14735.881000000001,14732.399
10.01.2021 00:46:28.781,14736.041000000001,14732.788999999999
10.01.2021 00:46:28.896,14735.803,14732.839
10.01.2021 00:46:28.946,14736.291000000001,14732.909
10.01.2021 00:46:29.330,14736.291000000001,14733.089
10.01.2021 00:46:29.380,14736.301000000001,14733.048999999999
10.01.2021 00:46:29.567,14736.371000000001,14733.087
10.01.2021 00:46:29.617,14736.371000000001,14732.829
10.01.2021 00:46:31.620,14736.251,14732.827
10.01.2021 00:46:31.670,14736.231000000002,14732.989
10.01.2021 00:46:35.055,14735.731000000002,14732.309
10.01.2021 00:46:35.955,14735.743,14732.378999999999
10.01.2021 00:46:36.005,14735.871000000001,14732.409
10.01.2021 00:46:37.253,14735.131000000001,14731.639
10.01.2021 00:46:37.304,14735.151000000002,14731.608999999999
10.01.2021 00:46:38.920,14735.093,14731.719
10.01.2021 00:46:38.970,14735.201000000001,14731.809
10.01.2021 00:46:39.059,14735.213,14732.149
10.01.2021 00:46:39.110,14735.641000000001,14732.208999999999
10.01.2021 00:46:39.245,14735.663,14732.229
10.01.2021 00:46:39.296,14735.741000000002,14732.499
10.01.2021 00:46:41.361,14735.763,14732.788999999999
10.01.2021 00:46:41.412,14736.071000000002,14732.538999999999
10.01.2021 00:46:45.296,14736.013,14732.829
10.01.2021 00:46:45.347,14736.281,14732.909
10.01.2021 00:46:45.481,14736.353000000001,14733.298999999999
10.01.2021 00:46:45.531,14736.581,14733.098999999998
10.01.2021 00:46:48.930,14736.553,14733.358999999999
10.01.2021 00:46:48.980,14736.821000000002,14733.348999999998
10.01.2021 00:46:50.243,14736.631000000001,14733.159
10.01.2021 00:46:51.619,14736.693000000001,14733.499
10.01.2021 00:46:51.670,14736.511,14733.288999999999
10.01.2021 00:46:51.778,14736.611,14733.389
10.01.2021 00:46:51.828,14736.631000000001,14733.108999999999
10.01.2021 00:46:53.643,14736.593,14733.409
10.01.2021 00:46:53.693,14736.791000000001,14733.399
10.01.2021 00:46:54.135,14736.603000000001,14733.899
10.01.2021 00:46:54.185,14737.081,14733.628999999999
10.01.2021 00:46:54.585,14737.083,14734.128999999999
10.01.2021 00:46:54.635,14737.611,14734.198999999999
10.01.2021 00:46:55.195,14737.551000000001,14734.118999999999
10.01.2021 00:46:55.525,14738.221000000001,14734.749
10.01.2021 00:46:56.332,14738.283000000001,14734.899
10.01.2021 00:46:56.382,14738.281,14734.858999999999
10.01.2021 00:46:57.108,14738.343,14735.128999999999
10.01.2021 00:46:57.159,14738.621000000001,14735.108999999999
10.01.2021 00:46:57.630,14738.571000000002,14735.127
10.01.2021 00:46:57.680,14738.301000000001,14735.098999999998
10.01.2021 00:46:58.495,14738.261,14734.719
10.01.2021 00:47:00.037,14737.893,14734.788999999999
10.01.2021 00:47:00.087,14737.811000000002,14734.378999999999
10.01.2021 00:47:00.204,14737.791000000001,14734.386999999999
10.01.2021 00:47:00.255,14737.691,14734.219
10.01.2021 00:47:00.832,14737.753,14734.319
10.01.2021 00:47:00.882,14737.851,14734.368999999999
10.01.2021 00:47:00.992,14737.793,14734.608999999999
10.01.2021 00:47:01.043,14738.051000000001,14734.608999999999
10.01.2021 00:47:01.153,14737.811000000002,14734.598999999998
10.01.2021 00:47:01.203,14737.791000000001,14734.409
10.01.2021 00:47:01.311,14737.711000000001,14734.367
10.01.2021 00:47:01.362,14737.751,14734.258999999998
10.01.2021 00:47:01.474,14737.253,14734.298999999999
10.01.2021 00:47:01.524,14737.291000000001,14733.798999999999
10.01.2021 00:47:01.956,14736.641000000001,14733.208999999999
10.01.2021 00:47:02.006,14736.621000000001,14733.178999999998
10.01.2021 00:47:04.881,14735.791000000001,14732.319
10.01.2021 00:47:04.931,14735.801000000001,14732.589
10.01.2021 00:47:05.344,14735.613000000001,14732.579
10.01.2021 00:47:05.394,14736.031,14732.508999999998
10.01.2021 00:47:05.789,14735.803,14732.798999999999
10.01.2021 00:47:05.839,14736.261,14732.809
10.01.2021 00:47:07.410,14735.641000000001,14732.108999999999
10.01.2021 00:47:07.809,14735.551000000001,14732.127
10.01.2021 00:47:07.859,14735.501,14732.089
10.01.2021 00:47:07.959,14735.321000000002,14732.037
10.01.2021 00:47:08.010,14735.301000000001,14731.829
10.01.2021 00:47:09.197,14735.101,14731.837
10.01.2021 00:47:09.247,14735.161,14731.628999999999
10.01.2021 00:47:09.553,14735.093,14732.999
10.01.2021 00:47:09.603,14736.221000000001,14732.999
10.01.2021 00:47:10.192,14736.223,14732.848999999998
10.01.2021 00:47:10.242,14736.301000000001,14732.809
10.01.2021 00:47:12.200,14736.251,14732.837
10.01.2021 00:47:12.250,14736.281,14732.809
10.01.2021 00:47:12.374,14735.711000000001,14732.219
10.01.2021 00:47:12.424,14735.511,14732.229
10.01.2021 00:47:13.174,14735.793,14732.339
10.01.2021 00:47:13.225,14735.821000000002,14732.368999999999
10.01.2021 00:47:14.776,14735.691,14732.327
10.01.2021 00:47:14.827,14735.781,14732.208999999999
10.01.2021 00:47:16.018,14735.733,14732.419
10.01.2021 00:47:16.068,14735.791000000001,14732.319
10.01.2021 00:47:17.900,14735.711000000001,14732.386999999999
